"Name"	"Protein id"	"Contig id"	"Start"	"Stop"	"Strand"	"Gene symbol"	"Element name"	"Scope"	"Type"	"Subtype"	"Class"	"Subclass"	"Method"	"Target length"	"Reference sequence length"	"% Coverage of reference"	"% Identity to reference"	"Alignment length"	"Closest reference accession"	"Closest reference name"	"HMM accession"	"HMM description"
"26141_1_135"	NA	".26141_1_135.83"	556	1413	"+"	"aac(3)-IId"	"aminoglycoside N-acetyltransferase AAC(3)-IId"	"core"	"AMR"	"AMR"	"AMINOGLYCOSIDE"	"GENTAMICIN"	"EXACTX"	286	286	100	100	286	"WP_000557454.1"	"aminoglycoside N-acetyltransferase AAC(3)-IId"	NA	NA
"26141_1_135"	NA	".26141_1_135.98"	1529	1999	"+"	"dfrA17"	"trimethoprim-resistant dihydrofolate reductase DfrA17"	"core"	"AMR"	"AMR"	"TRIMETHOPRIM"	"TRIMETHOPRIM"	"EXACTX"	157	157	100	100	157	"WP_001389366.1"	"trimethoprim-resistant dihydrofolate reductase DfrA17"	NA	NA
"26141_1_135"	NA	".26141_1_135.98"	2133	2918	"+"	"aadA5"	"ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5"	"core"	"AMR"	"AMR"	"AMINOGLYCOSIDE"	"STREPTOMYCIN"	"EXACTX"	262	262	100	100	262	"WP_000503573.1"	"ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5"	NA	NA
"26141_1_136"	NA	".26141_1_136.100"	218	1051	"-"	"aph(6)-Id"	"aminoglycoside O-phosphotransferase APH(6)-Id"	"core"	"AMR"	"AMR"	"AMINOGLYCOSIDE"	"STREPTOMYCIN"	"EXACTX"	278	278	100	100	278	"WP_000480968.1"	"aminoglycoside O-phosphotransferase APH(6)-Id"	NA	NA
"26141_1_136"	NA	".26141_1_136.100"	1054	1854	"-"	"aph(3'')-Ib"	"aminoglycoside O-phosphotransferase APH(3'')-Ib"	"core"	"AMR"	"AMR"	"AMINOGLYCOSIDE"	"STREPTOMYCIN"	"EXACTX"	267	267	100	100	267	"WP_001082319.1"	"aminoglycoside O-phosphotransferase APH(3'')-Ib"	NA	NA
"26141_1_136"	NA	".26141_1_136.100"	1918	2730	"-"	"sul2"	"sulfonamide-resistant dihydropteroate synthase Sul2"	"core"	"AMR"	"AMR"	"SULFONAMIDE"	"SULFONAMIDE"	"EXACTX"	271	271	100	100	271	"WP_001043265.1"	"sulfonamide-resistant dihydropteroate synthase Sul2"	NA	NA
"26141_1_136"	NA	".26141_1_136.102"	208	453	"-"	"arr"	"NAD(+)--rifampin ADP-ribosyltransferase"	"core"	"AMR"	"AMR"	"RIFAMYCIN"	"RIFAMYCIN"	"PARTIALX"	82	150	54.67	100	82	"WP_000237816.1"	"NAD(+)--rifampin ADP-ribosyltransferase Arr-2"	NA	NA
"26141_1_136"	NA	".26141_1_136.102"	541	1170	"-"	"catB3"	"type B-3 chloramphenicol O-acetyltransferase CatB3"	"core"	"AMR"	"AMR"	"PHENICOL"	"CHLORAMPHENICOL"	"EXACTX"	210	210	100	100	210	"WP_000186237.1"	"type B-3 chloramphenicol O-acetyltransferase CatB3"	NA	NA
"26141_1_136"	NA	".26141_1_136.102"	1311	2138	"-"	"blaOXA-1"	"oxacillin-hydrolyzing class D beta-lactamase OXA-1"	"core"	"AMR"	"AMR"	"BETA-LACTAM"	"CEPHALOSPORIN"	"ALLELEX"	276	276	100	100	276	"WP_001334766.1"	"oxacillin-hydrolyzing class D beta-lactamase OXA-1"	NA	NA
"26141_1_136"	NA	".26141_1_136.102"	2272	2823	"-"	"aac(6')-Ib-cr5"	"fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr5"	"core"	"AMR"	"AMR"	"AMINOGLYCOSIDE/QUINOLONE"	"AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN"	"ALLELEX"	184	184	100	100	184	"WP_063840321.1"	"fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr5"	NA	NA
"26141_1_136"	NA	".26141_1_136.105"	831	1688	"+"	"blaTEM-1"	"broad-spectrum class A beta-lactamase TEM-1"	"core"	"AMR"	"AMR"	"BETA-LACTAM"	"BETA-LACTAM"	"ALLELEX"	286	286	100	100	286	"WP_000027057.1"	"broad-spectrum class A beta-lactamase TEM-1"	NA	NA
"26141_1_136"	NA	".26141_1_136.5"	191455	192327	"-"	"blaCTX-M-15"	"extended-spectrum class A beta-lactamase CTX-M-15"	"core"	"AMR"	"AMR"	"BETA-LACTAM"	"CEPHALOSPORIN"	"ALLELEX"	291	291	100	100	291	"WP_000239590.1"	"extended-spectrum class A beta-lactamase CTX-M-15"	NA	NA
"26141_1_136"	NA	".26141_1_136.83"	556	1413	"+"	"aac(3)-IId"	"aminoglycoside N-acetyltransferase AAC(3)-IId"	"core"	"AMR"	"AMR"	"AMINOGLYCOSIDE"	"GENTAMICIN"	"EXACTX"	286	286	100	100	286	"WP_000557454.1"	"aminoglycoside N-acetyltransferase AAC(3)-IId"	NA	NA
"26141_1_136"	NA	".26141_1_136.89"	276	1178	"+"	"mph(A)"	"Mph(A) family macrolide 2'-phosphotransferase"	"core"	"AMR"	"AMR"	"MACROLIDE"	"AZITHROMYCIN/ERYTHROMYCIN/SPIRAMYCIN/TELITHROMYCIN"	"EXACTX"	301	301	100	100	301	"WP_000219391.1"	"Mph(A) family macrolide 2'-phosphotransferase"	NA	NA
"26141_1_136"	NA	".26141_1_136.97"	561	1346	"-"	"aadA5"	"ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5"	"core"	"AMR"	"AMR"	"AMINOGLYCOSIDE"	"STREPTOMYCIN"	"EXACTX"	262	262	100	100	262	"WP_000503573.1"	"ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5"	NA	NA
"26141_1_136"	NA	".26141_1_136.97"	1480	1950	"-"	"dfrA17"	"trimethoprim-resistant dihydrofolate reductase DfrA17"	"core"	"AMR"	"AMR"	"TRIMETHOPRIM"	"TRIMETHOPRIM"	"EXACTX"	157	157	100	100	157	"WP_001389366.1"	"trimethoprim-resistant dihydrofolate reductase DfrA17"	NA	NA
"26141_1_137"	NA	".26141_1_137.44"	211	1113	"+"	"mph(A)"	"Mph(A) family macrolide 2'-phosphotransferase"	"core"	"AMR"	"AMR"	"MACROLIDE"	"AZITHROMYCIN/ERYTHROMYCIN/SPIRAMYCIN/TELITHROMYCIN"	"EXACTX"	301	301	100	100	301	"WP_000219391.1"	"Mph(A) family macrolide 2'-phosphotransferase"	NA	NA
"26141_1_137"	NA	".26141_1_137.44"	6430	7266	"-"	"sul1"	"sulfonamide-resistant dihydropteroate synthase Sul1"	"core"	"AMR"	"AMR"	"SULFONAMIDE"	"SULFONAMIDE"	"EXACTX"	279	279	100	100	279	"WP_000259031.1"	"sulfonamide-resistant dihydropteroate synthase Sul1"	NA	NA
"26141_1_137"	NA	".26141_1_137.44"	7263	7607	"-"	"qacEdelta1"	"quaternary ammonium compound efflux SMR transporter QacE delta 1"	"core"	"STRESS"	"BIOCIDE"	"QUATERNARY AMMONIUM"	"QUATERNARY AMMONIUM"	"ALLELEX"	115	115	100	100	115	"WP_000679427.1"	"quaternary ammonium compound efflux SMR transporter QacE delta 1"	NA	NA
"26141_1_137"	NA	".26141_1_137.44"	7816	8601	"-"	"aadA5"	"ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5"	"core"	"AMR"	"AMR"	"AMINOGLYCOSIDE"	"STREPTOMYCIN"	"EXACTX"	262	262	100	100	262	"WP_000503573.1"	"ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5"	NA	NA
"26141_1_137"	NA	".26141_1_137.44"	8735	9205	"-"	"dfrA17"	"trimethoprim-resistant dihydrofolate reductase DfrA17"	"core"	"AMR"	"AMR"	"TRIMETHOPRIM"	"TRIMETHOPRIM"	"EXACTX"	157	157	100	100	157	"WP_001389366.1"	"trimethoprim-resistant dihydrofolate reductase DfrA17"	NA	NA
"26141_1_137"	NA	".26141_1_137.52"	515	1711	"-"	"tet(A)"	"tetracycline efflux MFS transporter Tet(A)"	"core"	"AMR"	"AMR"	"TETRACYCLINE"	"TETRACYCLINE"	"EXACTX"	399	399	100	100	399	"WP_000804064.1"	"tetracycline efflux MFS transporter Tet(A)"	NA	NA
"26141_1_137"	NA	".26141_1_137.52"	2768	3601	"-"	"aph(6)-Id"	"aminoglycoside O-phosphotransferase APH(6)-Id"	"core"	"AMR"	"AMR"	"AMINOGLYCOSIDE"	"STREPTOMYCIN"	"EXACTX"	278	278	100	100	278	"WP_000480972.1"	"aminoglycoside O-phosphotransferase APH(6)-Id"	NA	NA
"26141_1_137"	NA	".26141_1_137.52"	3604	4404	"-"	"aph(3'')-Ib"	"aminoglycoside O-phosphotransferase APH(3'')-Ib"	"core"	"AMR"	"AMR"	"AMINOGLYCOSIDE"	"STREPTOMYCIN"	"EXACTX"	267	267	100	100	267	"WP_001082319.1"	"aminoglycoside O-phosphotransferase APH(3'')-Ib"	NA	NA
"26141_1_137"	NA	".26141_1_137.52"	4468	5280	"-"	"sul2"	"sulfonamide-resistant dihydropteroate synthase Sul2"	"core"	"AMR"	"AMR"	"SULFONAMIDE"	"SULFONAMIDE"	"BLASTX"	271	271	100	99.63	271	"WP_001043260.1"	"sulfonamide-resistant dihydropteroate synthase Sul2"	NA	NA
"26141_1_137"	NA	".26141_1_137.72"	376	1248	"+"	"blaCTX-M-27"	"extended-spectrum class A beta-lactamase CTX-M-27"	"core"	"AMR"	"AMR"	"BETA-LACTAM"	"CEPHALOSPORIN"	"ALLELEX"	291	291	100	100	291	"WP_032277257.1"	"extended-spectrum class A beta-lactamase CTX-M-27"	NA	NA
"26141_1_138"	NA	".26141_1_138.52"	148	804	"+"	"catA1"	"type A-1 chloramphenicol O-acetyltransferase"	"core"	"AMR"	"AMR"	"PHENICOL"	"CHLORAMPHENICOL"	"EXACTX"	219	219	100	100	219	"WP_000412211.1"	"type A-1 chloramphenicol O-acetyltransferase"	NA	NA
"26141_1_138"	NA	".26141_1_138.52"	6818	7312	"+"	"dfrA12"	"trimethoprim-resistant dihydrofolate reductase DfrA12"	"core"	"AMR"	"AMR"	"TRIMETHOPRIM"	"TRIMETHOPRIM"	"EXACTX"	165	165	100	100	165	"WP_001083725.1"	"trimethoprim-resistant dihydrofolate reductase DfrA12"	NA	NA
"26141_1_138"	NA	".26141_1_138.52"	7723	8511	"+"	"aadA2"	"ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2"	"core"	"AMR"	"AMR"	"AMINOGLYCOSIDE"	"STREPTOMYCIN"	"EXACTX"	263	263	100	100	263	"WP_001206356.1"	"ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2"	NA	NA
"26141_1_138"	NA	".26141_1_138.52"	8678	9022	"+"	"qacEdelta1"	"quaternary ammonium compound efflux SMR transporter QacE delta 1"	"core"	"STRESS"	"BIOCIDE"	"QUATERNARY AMMONIUM"	"QUATERNARY AMMONIUM"	"ALLELEX"	115	115	100	100	115	"WP_000679427.1"	"quaternary ammonium compound efflux SMR transporter QacE delta 1"	NA	NA
"26141_1_138"	NA	".26141_1_138.52"	9019	9855	"+"	"sul1"	"sulfonamide-resistant dihydropteroate synthase Sul1"	"core"	"AMR"	"AMR"	"SULFONAMIDE"	"SULFONAMIDE"	"EXACTX"	279	279	100	100	279	"WP_000259031.1"	"sulfonamide-resistant dihydropteroate synthase Sul1"	NA	NA
"26141_1_138"	NA	".26141_1_138.52"	15181	16083	"-"	"mph(A)"	"Mph(A) family macrolide 2'-phosphotransferase"	"core"	"AMR"	"AMR"	"MACROLIDE"	"AZITHROMYCIN/ERYTHROMYCIN/SPIRAMYCIN/TELITHROMYCIN"	"BLASTX"	301	301	100	100	301	"WP_000219391.1"	"Mph(A) family macrolide 2'-phosphotransferase"	NA	NA
"26141_1_138"	NA	".26141_1_138.68"	493	1689	"-"	"tet(A)"	"tetracycline efflux MFS transporter Tet(A)"	"core"	"AMR"	"AMR"	"TETRACYCLINE"	"TETRACYCLINE"	"EXACTX"	399	399	100	100	399	"WP_000804064.1"	"tetracycline efflux MFS transporter Tet(A)"	NA	NA
"26141_1_138"	NA	".26141_1_138.68"	2746	3579	"-"	"aph(6)-Id"	"aminoglycoside O-phosphotransferase APH(6)-Id"	"core"	"AMR"	"AMR"	"AMINOGLYCOSIDE"	"STREPTOMYCIN"	"EXACTX"	278	278	100	100	278	"WP_000480972.1"	"aminoglycoside O-phosphotransferase APH(6)-Id"	NA	NA
"26141_1_138"	NA	".26141_1_138.68"	3582	4382	"-"	"aph(3'')-Ib"	"aminoglycoside O-phosphotransferase APH(3'')-Ib"	"core"	"AMR"	"AMR"	"AMINOGLYCOSIDE"	"STREPTOMYCIN"	"EXACTX"	267	267	100	100	267	"WP_001082319.1"	"aminoglycoside O-phosphotransferase APH(3'')-Ib"	NA	NA
"26141_1_138"	NA	".26141_1_138.68"	4446	5258	"-"	"sul2"	"sulfonamide-resistant dihydropteroate synthase Sul2"	"core"	"AMR"	"AMR"	"SULFONAMIDE"	"SULFONAMIDE"	"EXACTX"	271	271	100	100	271	"WP_001043260.1"	"sulfonamide-resistant dihydropteroate synthase Sul2"	NA	NA
"26141_1_138"	NA	".26141_1_138.71"	1885	3087	"-"	"tet(B)"	"tetracycline efflux MFS transporter Tet(B)"	"core"	"AMR"	"AMR"	"TETRACYCLINE"	"TETRACYCLINE"	"EXACTX"	401	401	100	100	401	"WP_001089068.1"	"tetracycline efflux MFS transporter Tet(B)"	NA	NA
"26141_1_138"	NA	".26141_1_138.82"	376	1248	"+"	"blaCTX-M-27"	"extended-spectrum class A beta-lactamase CTX-M-27"	"core"	"AMR"	"AMR"	"BETA-LACTAM"	"CEPHALOSPORIN"	"ALLELEX"	291	291	100	100	291	"WP_032277257.1"	"extended-spectrum class A beta-lactamase CTX-M-27"	NA	NA
"26141_1_139"	NA	".26141_1_139.45"	195	1097	"+"	"mph(A)"	"Mph(A) family macrolide 2'-phosphotransferase"	"core"	"AMR"	"AMR"	"MACROLIDE"	"AZITHROMYCIN/ERYTHROMYCIN/SPIRAMYCIN/TELITHROMYCIN"	"EXACTX"	301	301	100	100	301	"WP_000219391.1"	"Mph(A) family macrolide 2'-phosphotransferase"	NA	NA
"26141_1_139"	NA	".26141_1_139.45"	6414	7250	"-"	"sul1"	"sulfonamide-resistant dihydropteroate synthase Sul1"	"core"	"AMR"	"AMR"	"SULFONAMIDE"	"SULFONAMIDE"	"EXACTX"	279	279	100	100	279	"WP_000259031.1"	"sulfonamide-resistant dihydropteroate synthase Sul1"	NA	NA
"26141_1_139"	NA	".26141_1_139.45"	7247	7591	"-"	"qacEdelta1"	"quaternary ammonium compound efflux SMR transporter QacE delta 1"	"core"	"STRESS"	"BIOCIDE"	"QUATERNARY AMMONIUM"	"QUATERNARY AMMONIUM"	"ALLELEX"	115	115	100	100	115	"WP_000679427.1"	"quaternary ammonium compound efflux SMR transporter QacE delta 1"	NA	NA
"26141_1_139"	NA	".26141_1_139.45"	7800	8585	"-"	"aadA5"	"ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5"	"core"	"AMR"	"AMR"	"AMINOGLYCOSIDE"	"STREPTOMYCIN"	"EXACTX"	262	262	100	100	262	"WP_000503573.1"	"ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5"	NA	NA
"26141_1_139"	NA	".26141_1_139.45"	8719	9189	"-"	"dfrA17"	"trimethoprim-resistant dihydrofolate reductase DfrA17"	"core"	"AMR"	"AMR"	"TRIMETHOPRIM"	"TRIMETHOPRIM"	"EXACTX"	157	157	100	100	157	"WP_001389366.1"	"trimethoprim-resistant dihydrofolate reductase DfrA17"	NA	NA
"26141_1_139"	NA	".26141_1_139.51"	493	1689	"-"	"tet(A)"	"tetracycline efflux MFS transporter Tet(A)"	"core"	"AMR"	"AMR"	"TETRACYCLINE"	"TETRACYCLINE"	"EXACTX"	399	399	100	100	399	"WP_000804064.1"	"tetracycline efflux MFS transporter Tet(A)"	NA	NA
"26141_1_139"	NA	".26141_1_139.51"	2746	3579	"-"	"aph(6)-Id"	"aminoglycoside O-phosphotransferase APH(6)-Id"	"core"	"AMR"	"AMR"	"AMINOGLYCOSIDE"	"STREPTOMYCIN"	"EXACTX"	278	278	100	100	278	"WP_000480972.1"	"aminoglycoside O-phosphotransferase APH(6)-Id"	NA	NA
"26141_1_139"	NA	".26141_1_139.51"	3582	4382	"-"	"aph(3'')-Ib"	"aminoglycoside O-phosphotransferase APH(3'')-Ib"	"core"	"AMR"	"AMR"	"AMINOGLYCOSIDE"	"STREPTOMYCIN"	"EXACTX"	267	267	100	100	267	"WP_001082319.1"	"aminoglycoside O-phosphotransferase APH(3'')-Ib"	NA	NA
"26141_1_139"	NA	".26141_1_139.51"	4446	5258	"-"	"sul2"	"sulfonamide-resistant dihydropteroate synthase Sul2"	"core"	"AMR"	"AMR"	"SULFONAMIDE"	"SULFONAMIDE"	"EXACTX"	271	271	100	100	271	"WP_001043260.1"	"sulfonamide-resistant dihydropteroate synthase Sul2"	NA	NA
"26141_1_139"	NA	".26141_1_139.60"	376	1248	"+"	"blaCTX-M-27"	"extended-spectrum class A beta-lactamase CTX-M-27"	"core"	"AMR"	"AMR"	"BETA-LACTAM"	"CEPHALOSPORIN"	"ALLELEX"	291	291	100	100	291	"WP_032277257.1"	"extended-spectrum class A beta-lactamase CTX-M-27"	NA	NA
"26141_1_140"	NA	".26141_1_140.38"	1861	3063	"+"	"tet(B)"	"tetracycline efflux MFS transporter Tet(B)"	"core"	"AMR"	"AMR"	"TETRACYCLINE"	"TETRACYCLINE"	"EXACTX"	401	401	100	100	401	"WP_001089068.1"	"tetracycline efflux MFS transporter Tet(B)"	NA	NA
"26141_1_140"	NA	".26141_1_140.75"	3031	3864	"-"	"aph(6)-Id"	"aminoglycoside O-phosphotransferase APH(6)-Id"	"core"	"AMR"	"AMR"	"AMINOGLYCOSIDE"	"STREPTOMYCIN"	"EXACTX"	278	278	100	100	278	"WP_000480968.1"	"aminoglycoside O-phosphotransferase APH(6)-Id"	NA	NA
"26141_1_140"	NA	".26141_1_140.75"	3867	4667	"-"	"aph(3'')-Ib"	"aminoglycoside O-phosphotransferase APH(3'')-Ib"	"core"	"AMR"	"AMR"	"AMINOGLYCOSIDE"	"STREPTOMYCIN"	"EXACTX"	267	267	100	100	267	"WP_001082319.1"	"aminoglycoside O-phosphotransferase APH(3'')-Ib"	NA	NA
"26141_1_140"	NA	".26141_1_140.75"	4731	5543	"-"	"sul2"	"sulfonamide-resistant dihydropteroate synthase Sul2"	"core"	"AMR"	"AMR"	"SULFONAMIDE"	"SULFONAMIDE"	"EXACTX"	271	271	100	100	271	"WP_001043260.1"	"sulfonamide-resistant dihydropteroate synthase Sul2"	NA	NA
"26141_1_140"	NA	".26141_1_140.77"	2766	3638	"-"	"blaCTX-M-15"	"extended-spectrum class A beta-lactamase CTX-M-15"	"core"	"AMR"	"AMR"	"BETA-LACTAM"	"CEPHALOSPORIN"	"ALLELEX"	291	291	100	100	291	"WP_000239590.1"	"extended-spectrum class A beta-lactamase CTX-M-15"	NA	NA
"26141_1_140"	NA	".26141_1_140.78"	1763	2233	"+"	"dfrA17"	"trimethoprim-resistant dihydrofolate reductase DfrA17"	"core"	"AMR"	"AMR"	"TRIMETHOPRIM"	"TRIMETHOPRIM"	"EXACTX"	157	157	100	100	157	"WP_001389366.1"	"trimethoprim-resistant dihydrofolate reductase DfrA17"	NA	NA
"26141_1_140"	NA	".26141_1_140.78"	2367	3152	"+"	"aadA5"	"ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5"	"core"	"AMR"	"AMR"	"AMINOGLYCOSIDE"	"STREPTOMYCIN"	"EXACTX"	262	262	100	100	262	"WP_000503573.1"	"ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5"	NA	NA
"26141_1_140"	NA	".26141_1_140.78"	3361	3705	"+"	"qacEdelta1"	"quaternary ammonium compound efflux SMR transporter QacE delta 1"	"core"	"STRESS"	"BIOCIDE"	"QUATERNARY AMMONIUM"	"QUATERNARY AMMONIUM"	"ALLELEX"	115	115	100	100	115	"WP_000679427.1"	"quaternary ammonium compound efflux SMR transporter QacE delta 1"	NA	NA
"26141_1_140"	NA	".26141_1_140.78"	3702	4538	"+"	"sul1"	"sulfonamide-resistant dihydropteroate synthase Sul1"	"core"	"AMR"	"AMR"	"SULFONAMIDE"	"SULFONAMIDE"	"EXACTX"	279	279	100	100	279	"WP_000259031.1"	"sulfonamide-resistant dihydropteroate synthase Sul1"	NA	NA
"26141_1_140"	NA	".26141_1_140.85"	195	1097	"+"	"mph(A)"	"Mph(A) family macrolide 2'-phosphotransferase"	"core"	"AMR"	"AMR"	"MACROLIDE"	"AZITHROMYCIN/ERYTHROMYCIN/SPIRAMYCIN/TELITHROMYCIN"	"EXACTX"	301	301	100	100	301	"WP_000219391.1"	"Mph(A) family macrolide 2'-phosphotransferase"	NA	NA
